report_date,postcode,location_name,annual_consumption_in_kWh,market,ranking,currency,gross_price_per_month
2024-01-01,81539,München,1000.0,Non-Bonus,40,EUR,37.7825
2024-01-01,10115,Berlin,5000.0,Non-Bonus,18,EUR,139.85333333333332
2024-01-01,81539,München,5000.0,Non-Bonus,17,EUR,133.42416666666665
2024-01-01,81539,München,5000.0,Non-Bonus,34,EUR,140.01416666666668
2024-01-01,10115,Berlin,4250.0,Non-Bonus,26,EUR,123.53083333333332
2024-01-01,10115,Berlin,4250.0,Non-Bonus,38,EUR,125.815
2024-01-01,81539,München,4250.0,Non-Bonus,16,EUR,114.3575
2024-01-01,81539,München,4250.0,Non-Bonus,41,EUR,122.65333333333332
2024-01-01,81539,München,4000.0,Non-Bonus,21,EUR,109.97416666666668
2024-01-01,81539,München,4000.0,Non-Bonus,46,EUR,116.62
2024-01-01,81539,München,1500.0,Bonus,27,EUR,43.975833333333334
2024-01-01,81539,München,1500.0,Bonus,45,EUR,48.04666666666666
2024-01-01,10115,Berlin,2500.0,Non-Bonus,25,EUR,76.55666666666666
2024-01-01,81539,München,2500.0,Non-Bonus,3,EUR,57.03916666666667
2024-01-01,81539,München,2500.0,Non-Bonus,27,EUR,74.54333333333334
2024-01-01,10115,Berlin,3500.0,Non-Bonus,2,EUR,77.09
2024-01-01,10115,Berlin,3500.0,Non-Bonus,4,EUR,93.1475
2024-01-01,81539,München,3500.0,Non-Bonus,7,EUR,91.41666666666667
2024-01-01,10115,Berlin,3000.0,Non-Bonus,48,EUR,92.825
2024-01-01,81539,München,3000.0,Non-Bonus,16,EUR,84.45416666666667
2024-01-01,81539,München,2000.0,Non-Bonus,20,EUR,60.61666666666667
2024-01-01,81539,München,2000.0,Non-Bonus,31,EUR,62.27
2024-01-01,81539,München,2000.0,Non-Bonus,32,EUR,62.33083333333334
2024-01-01,81539,München,1500.0,Non-Bonus,15,EUR,46.95083333333333
2024-01-01,81539,München,1500.0,Non-Bonus,40,EUR,50.574999999999996
2024-01-01,10115,Berlin,4500.0,Non-Bonus,11,EUR,122.85916666666667
2024-01-01,10115,Berlin,4500.0,Non-Bonus,49,EUR,134.2875
2024-01-01,81539,München,4500.0,Non-Bonus,36,EUR,128.2825
2024-01-01,10115,Berlin,1000.0,Non-Bonus,8,EUR,34.73166666666666
2024-01-01,81539,München,1000.0,Non-Bonus,23,EUR,36.594166666666666
2024-01-01,10115,Berlin,5000.0,Non-Bonus,3,EUR,108.49166666666667
2024-01-01,10115,Berlin,5000.0,Non-Bonus,39,EUR,146.32833333333335
2024-01-01,10115,Berlin,5000.0,Non-Bonus,49,EUR,147.86666666666667
2024-01-01,81539,München,5000.0,Non-Bonus,15,EUR,132.70250000000001
2024-01-01,81539,München,5000.0,Non-Bonus,46,EUR,143.165
2024-01-01,10115,Berlin,4250.0,Non-Bonus,32,EUR,124.53250000000001
2024-01-01,10115,Berlin,4250.0,Non-Bonus,45,EUR,126.95166666666667
2024-01-01,81539,München,4250.0,Non-Bonus,33,EUR,120.545
2024-01-01,10115,Berlin,4000.0,Non-Bonus,23,EUR,115.77916666666665
2024-01-01,10115,Berlin,4000.0,Non-Bonus,33,EUR,117.675
2024-01-01,81539,München,4000.0,Non-Bonus,13,EUR,108.04916666666666
2024-01-01,81539,München,4000.0,Non-Bonus,28,EUR,112.89916666666666
2024-01-01,10115,Berlin,1500.0,Bonus,3,EUR,38.3425
2024-01-01,10115,Berlin,1500.0,Bonus,48,EUR,49.07583333333333
2024-01-01,81539,München,1500.0,Bonus,11,EUR,38.645
2024-01-01,81539,München,1500.0,Bonus,46,EUR,48.384166666666665
2024-01-01,10115,Berlin,2500.0,Non-Bonus,43,EUR,78.4375
2024-01-01,10115,Berlin,3500.0,Non-Bonus,7,EUR,94.70083333333334
2024-01-01,10115,Berlin,3500.0,Non-Bonus,16,EUR,100.5125
2024-01-01,81539,München,1000.0,Bonus,9,EUR,29.608333333333334
2024-01-01,10115,Berlin,3000.0,Non-Bonus,40,EUR,91.575
2024-01-01,10115,Berlin,3000.0,Non-Bonus,47,EUR,92.66833333333334
2024-01-01,81539,München,3000.0,Non-Bonus,23,EUR,85.65249999999999
2024-01-01,81539,München,3000.0,Non-Bonus,34,EUR,88.585
2024-01-01,10115,Berlin,2000.0,Non-Bonus,11,EUR,59.501666666666665
2024-01-01,81539,München,2000.0,Non-Bonus,18,EUR,60.00333333333333
2024-01-01,81539,München,2000.0,Non-Bonus,26,EUR,61.2875
2024-01-01,81539,München,2000.0,Non-Bonus,43,EUR,63.943333333333335
2024-01-01,10115,Berlin,1500.0,Non-Bonus,10,EUR,46.59
2024-01-01,10115,Berlin,1500.0,Non-Bonus,40,EUR,51.2825
2024-01-01,10115,Berlin,1500.0,Non-Bonus,45,EUR,51.75
2024-01-01,81539,München,1500.0,Non-Bonus,2,EUR,38.645
2024-01-01,10115,Berlin,4500.0,Non-Bonus,18,EUR,126.96833333333332
2024-01-01,81539,München,4500.0,Non-Bonus,42,EUR,129.3325
2024-01-01,81539,München,1000.0,Non-Bonus,7,EUR,33.31333333333333
